gene_id	tissue	species	n_pipe	pipe
ENSOCUG00000009560	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000009734	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000009811	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000009829	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000009833	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000009864	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000009869	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000009907	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000009913	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000009951	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000010052	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000010090	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000010116	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000010139	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000010141	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000010176	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000010179	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000010328	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000010376	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000010431	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000010468	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000010475	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000010534	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000010546	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000010576	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000010591	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000010620	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000010667	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000010699	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000010763	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000010777	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000010794	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000010807	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000010818	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000010822	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000010828	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000010849	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000010854	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000010911	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000010938	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000010963	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000010971	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000011017	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000011080	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000011088	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000011096	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000011114	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000011120	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000011150	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000011202	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000011293	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000011401	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000011434	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000011484	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000011509	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000011531	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000011609	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000011677	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000011704	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000011745	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000011751	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000011823	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000011824	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000011860	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000011902	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000011947	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000011985	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000012230	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000012261	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000012360	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000012361	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000012421	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000012459	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000012488	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000012614	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000012681	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000012705	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000012745	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000012750	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000012755	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000012757	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000012765	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000012776	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000012814	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000012817	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000012827	Brain	Rabbit	1	MaSigPro 
